CREATE TABLE ch1ck3n_menu(name VARCHAR NOT NULL, category VARCHAR NOT NULL, in_stock BOOL NOT NULL, in_menu BOOL NOT NULL, base_price NUMERIC NOT NULL, compulsory_options JSON, optional_options JSON, image_url VARCHAR, menu_version INTEGER)

stall_id;name;in_stock;in_menu;base_price;compulsory_options;optional_options;image_url
7;Orange (Peeled);TRUE;TRUE;0.9;{};{};
7;Apple (Sliced);TRUE;TRUE;9;{};{};
7;Apple (Whole);TRUE;TRUE;1;{};{};
7;Banana;TRUE;TRUE;0.7;{};{};
7;Banana (Large);TRUE;TRUE;0.9;{};{};
7;Guava;TRUE;TRUE;1;{};{};
7;Pear;TRUE;TRUE;0.9;{};{};
7;Kiwi;TRUE;TRUE;1.2;{};{};
7;Dragonfruit (White);TRUE;TRUE;1;{};{};
7;Dragonfruit (Red);TRUE;TRUE;1;{};{};
7;Agar Agar;TRUE;TRUE;0.9;{};{};
7;Mixed Fruit Cup;TRUE;TRUE;1.8;{};{};
7;ABC Fruit Juice;TRUE;TRUE;2;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Watermelon Juice;TRUE;TRUE;1.6;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Papaya Juice;TRUE;TRUE;1.4;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Pineapple Juice;TRUE;TRUE;1.4;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Honeydew Juice;TRUE;TRUE;1.4;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Orange Juice;TRUE;TRUE;1.8;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Apple Juice;TRUE;TRUE;1.8;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Kiwi Juice;TRUE;TRUE;1.6;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Pear Juice;TRUE;TRUE;1.6;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Carrot Juice;TRUE;TRUE;1.8;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Guava Juice;TRUE;TRUE;1.6;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Avocado Juice;TRUE;TRUE;1.8;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Soursop Juice;TRUE;TRUE;1.8;{};"{""Options"":{""No Ice"":{""cost"":0.5},""Add Milk"":{""cost"":0.5}}}";
7;Vitagen;TRUE;TRUE;0.7;{};{};
7;Ice Lemon Tea;TRUE;TRUE;1.2;{};{};
7;Longan;TRUE;TRUE;1.2;{};{};
7;Luo Han Guo;TRUE;TRUE;1.2;{};{};
7;Barley;TRUE;TRUE;1.2;{};{};
7;Grass Jelly;TRUE;TRUE;1.2;{};{};
7;Chrysanthemum Tea;TRUE;TRUE;1.2;{};{};
7;Green Bean;TRUE;TRUE;1.2;{};{};
7;Homemade Soya Bean Drink;TRUE;TRUE;1.2;{};{};
7;Soya Beancurd;TRUE;TRUE;1.2;{};{};
7;(Canopy) 500ml Drinking Water;TRUE;TRUE;1;{};{};
7;Coffee O;TRUE;TRUE;0.6;{};{};
7;Coffee;TRUE;TRUE;0.7;{};{};
7;Coffee C;TRUE;TRUE;0.8;{};{};
7;Coffee O Ice;TRUE;TRUE;0.9;{};"{""Options"":{""Upsize"":{""cost"":0.4}}}";
7;Coffee Ice;TRUE;TRUE;1;{};"{""Options"":{""Upsize"":{""cost"":0.4}}}";
7;Coffee C Ice;TRUE;TRUE;1.1;{};"{""Options"":{""Upsize"":{""cost"":0.4}}}";
7;Tea O;TRUE;TRUE;0.7;{};{};
7;Tea;TRUE;TRUE;0.8;{};{};
7;Tea C;TRUE;TRUE;0.9;{};{};
7;Tea O Ice;TRUE;TRUE;1;{};"{""Options"":{""Upsize"":{""cost"":0.4}}}";
7;Tea Ice;TRUE;TRUE;1.1;{};"{""Options"":{""Upsize"":{""cost"":0.4}}}";
7;Tea C Ice;TRUE;TRUE;1.2;{};"{""Options"":{""Upsize"":{""cost"":0.4}}}";
7;Cocoa O;TRUE;TRUE;0.7;{};{};
7;Cocoa;TRUE;TRUE;0.8;{};{};
7;Cocoa C;TRUE;TRUE;0.9;{};{};
7;Cocoa O Ice;TRUE;TRUE;1;{};"{""Options"":{""Upsize"":{""cost"":0.5}}}";
7;Cocoa Ice;TRUE;TRUE;1.1;{};"{""Options"":{""Upsize"":{""cost"":0.5}}}";
7;Cocoa C Ice;TRUE;TRUE;1.2;{};"{""Options"":{""Upsize"":{""cost"":0.5}}}";
7;Horlick O;TRUE;TRUE;0.7;{};{};
7;Horlick;TRUE;TRUE;0.8;{};{};
7;Horlick C;TRUE;TRUE;0.9;{};{};
7;Horlick O Ice;TRUE;TRUE;1;{};"{""Options"":{""Upsize"":{""cost"":0.5}}}";
7;Horlick Ice;TRUE;TRUE;1.1;{};"{""Options"":{""Upsize"":{""cost"":0.5}}}";
7;Horlick C Ice;TRUE;TRUE;1.2;{};"{""Options"":{""Upsize"":{""cost"":0.5}}}";
7;Cocoa + Coffee Ice;TRUE;TRUE;1.1;{};"{""Options"":{""Upsize"":{""cost"":0.5}}}";
7;Cocoa + Tea Ice;TRUE;TRUE;1.2;{};"{""Options"":{""Upsize"":{""cost"":0.5}}}";
7;Cocoa + Horlick Ice;TRUE;TRUE;1.3;{};"{""Options"":{""Upsize"":{""cost"":0.5}}}";
7;Cocoa Dinosaur;TRUE;TRUE;2.5;{};"{""Options"":{""Upsize"":{""cost"":0.5}}}";
7;Yuan Yang;TRUE;TRUE;0.8;{};{};
7;Yuan Yang Ice;TRUE;TRUE;1.4;{};"{""Options"":{""Upsize"":{""cost"":0.4}}}";
7;Hot Water;TRUE;TRUE;0.2;{};{};
7;Ice Water;TRUE;TRUE;0.3;{};{};
7;Chinese Tea;TRUE;TRUE;0.6;{};{};
7;Tea Halia;TRUE;TRUE;1.1;{};{};
7;Ginger Water;TRUE;TRUE;0.6;{};{};
7;Ginger Water Ice;TRUE;TRUE;1;{};"{""Options"":{""Upsize"":{""cost"":0.5}}}";
7;Hot Chrysanthemum;TRUE;TRUE;0.6;{};{};
7;Canned Drinks – 300ml;TRUE;TRUE;1.4;{};{};
7;Bottled Drinks – 500ml;TRUE;TRUE;1.5;{};{};
7;Carton Drinks;TRUE;TRUE;1.4;{};{};
7;Tissue;TRUE;TRUE;0.3;{};{};
7;Set A (Toast Bread + Eggs + Coffee/Tea);TRUE;TRUE;2.5;"{""Drink"":{""Coffee"":{""cost"":0.0},""Tea"":{""cost"":0.0}}}";{};
7;Set B (Apollo Bun + Eggs + Coffee/Tea);TRUE;TRUE;2.8;"{""Drink"":{""Coffee"":{""cost"":0.0},""Tea"":{""cost"":0.0}}}";{};
7;Set C (Thick Toast + Eggs + Coffee/Tea);TRUE;TRUE;2.8;"{""Drink"":{""Coffee"":{""cost"":0.0},""Tea"":{""cost"":0.0}}}";{};
7;Set D (Canopy Cream Cracker + Eggs + Coffee/Tea);TRUE;TRUE;2.8;"{""Drink"":{""Coffee"":{""cost"":0.0},""Tea"":{""cost"":0.0}}}";{};
7;Apollo Bun Bread;TRUE;TRUE;1;{};{};
7;Half Boiled Omega Egg (2 Pcs);TRUE;TRUE;1.2;{};{};
7;Normal Half Boiled Egg (2 Pcs);TRUE;TRUE;1;{};{};
7;Sandwich (Normal/Wholemeal);TRUE;TRUE;1.6;"{""Bread"":{""Normal"":{""cost"":0.0},""Wholemeal"":{""cost"":0.0}}}";{};
7;Toasted Bread (Normal/Wholemeal);TRUE;TRUE;1;"{""Bread"":{""Normal"":{""cost"":0.0},""Wholemeal"":{""cost"":0.0}}}";{};
7;Thick Toast;TRUE;TRUE;1.2;{};{};
7;Canopy Cream Cracker;TRUE;TRUE;0.7;{};{};
7;Siew Mai;TRUE;TRUE;0.7;{};{};
7;Lian Yong Pau;TRUE;TRUE;0.8;{};{};
7;Small Pau;TRUE;TRUE;0.8;{};{};
7;Veg Pau;TRUE;TRUE;1;{};{};
7;Char Siew Pau;TRUE;TRUE;0.8;{};{};
7;Curry Pau;TRUE;TRUE;0.8;{};{};
7;Sweet Corn Pau;TRUE;TRUE;0.9;{};{};
7;Red Bean Paste Pau (Tau Sar);TRUE;TRUE;0.8;{};{};
7;Yam Pau;TRUE;TRUE;0.8;{};{};
7;Chicken Pau;TRUE;TRUE;1.4;{};{};
7;Big (Tai) Pau;TRUE;TRUE;1.4;{};{};
7;Fan Choy;TRUE;TRUE;1.6;{};{};
7;Lor Mai Kai;TRUE;TRUE;1.4;{};{};
8;Plain Waffle;TRUE;TRUE;1;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Butter Waffle;TRUE;TRUE;1.3;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Blueberry Waffle;TRUE;TRUE;1.3;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Strawberry Waffle;TRUE;TRUE;1.3;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Pandan Kaya Waffle;TRUE;TRUE;1.3;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Chocolate Waffle;TRUE;TRUE;1.4;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Nutella Waffle;TRUE;TRUE;1.8;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Butter Cinnamon Waffle;TRUE;TRUE;1.4;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Strawberry Sprinkles Waffle;TRUE;TRUE;1.5;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
8;Honey Waffle;TRUE;TRUE;1.5;{};"{""Toppings"":{""Sprinkles"":{""cost"":0.3},""Cinnamon"":{""cost"":0.3},""Butter"":{""cost"":0.3},""Chocolate Chips"":{""cost"":0.3},""Cheese"":{""cost"":0.5},""Ham"":{""cost"":0.5},""Tuna"":{""cost"":0.5},""Nutella"":{""cost"":0.5}}}";
