location_id;stall_id;id;name;in_stock;in_menu;school_price;public_price;category;kcal;compulsory_options;optional_options;tags;image_url
1;1;24;Plain Noodles/Kuay Teow Dry;TRUE;TRUE;1.5;2;2;;{"Choice of Noodles":{"Noodle":{"cost":0.0},"Kuay Teow":{"cost":0.0}}};{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}};;
1;1;25;Char Siew Noodle;TRUE;TRUE;2.5;3;1;;{};{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}};;
1;1;26;Wanton Soup with Rice;TRUE;TRUE;2.5;3;1;;{};{};;
1;3;1;Ribeye Steak;TRUE;TRUE;7;8;1;;{"Tenderness":{"Rare":{"cost":0.0},"Medium-rare":{"cost":0.0},"Medium":{"cost":0.0},"Medium-well":{"cost":0.0},"Well Done":{"cost":0.0}}};{};;
1;3;2;Mixed Grilled;TRUE;TRUE;7;8;1;;{};{};;
1;3;3;Grilled Salmon;TRUE;TRUE;7;8;1;;{};{};;
1;3;4;Chicken Chop;TRUE;TRUE;4.8;5.5;1;;{};{};;
1;3;5;Chicken Teriyaki;TRUE;TRUE;4.8;5.5;1;;{};{};;
1;3;6;Chicken Cutlet;TRUE;TRUE;4.8;5.5;1;;{};{};;
1;3;7;Mexican Chicken Chop;TRUE;TRUE;5;5.5;1;;{};{};;
1;3;8;Fish & Chips;TRUE;TRUE;5;5.5;1;;{};{};;
1;3;9;Grilled Dory Fish;TRUE;TRUE;5;5.5;1;;{};{};;
1;3;10;Sausage Combo;TRUE;TRUE;5;5.5;1;;{};{};;
1;3;11;Spaghetti Chicken Bolognese;TRUE;TRUE;4.5;5;1;;{};{};;
1;3;12;Spaghetti Ham & Mushroom;TRUE;TRUE;4.5;5;1;;{};{};;
1;3;13;Spaghetti Grilled Dory Fish;TRUE;TRUE;5;6;1;;{};{};;
1;3;14;Spaghetti Breaded Fish;TRUE;TRUE;5;6;1;;{};{};;
1;3;15;Spaghetti Sausage;TRUE;TRUE;5;6;1;;{};{};;
1;3;16;Spaghetti Breaded Prawn;TRUE;TRUE;5;6;1;;{};{};;
1;3;17;Spaghetti Chicken Chop;TRUE;TRUE;5;6;1;;{};{};;
1;3;18;Spaghetti Chicken Cutlet;TRUE;TRUE;5;6;1;;{};{};;
1;3;19;Western Fried Rice Chicken Chop w/ Sunshine Egg;TRUE;TRUE;4.5;5;1;;{};{};;
1;3;20;Western Fried Rice Chicken Cutlet w/ Sunshine Egg;TRUE;TRUE;4.5;5;1;;{};{};;
1;3;21;Western Fried Rice Breaded Prawn w/ Sunshine Egg;TRUE;TRUE;4.5;5;1;;{};{};;
1;3;22;Western Fried Rice Grilled Dory Fish w/ Sunshine Egg;TRUE;TRUE;4.5;5;1;;{};{};;
1;3;23;Western Fried Rice Sausage w/ Sunshine Egg;TRUE;TRUE;4.5;5;1;;{};{};;
1;3;24;Western Fried Rice Breaded Fish w/ Sunshine Egg;TRUE;TRUE;4.5;5;1;;{};{};;
1;3;25;Western Fried Rice Chicken Wing w/ Sunshine Egg;TRUE;TRUE;4.5;5;1;;{};{};;
1;3;26;Crispy Chicken Rice w/ Coleslaw & Chicken Cube;TRUE;TRUE;2.5;3.5;1;;{};{};;
1;3;27;Grilled Chicken Rice;TRUE;TRUE;5.5;6;1;;{};{};;
1;3;28;Aglio Olio Chicken Chop;TRUE;TRUE;5.5;6;1;;{};{};;
1;3;29;Aglio Olio Chicken Cutlet;TRUE;TRUE;5.5;6;1;;{};{};;
1;3;30;Aglio Olio Ham & Mushroom;TRUE;TRUE;4.5;5;1;;{};{};;
1;3;31;Aglio Olio Grilled Doryfish;TRUE;TRUE;5.5;6;1;;{};{};;
1;3;32;Aglio Olio Breaded Fish;TRUE;TRUE;5.5;6;1;;{};{};;
1;3;33;Aglio Olio Sausage;TRUE;TRUE;5.5;6;1;;{};{};;
1;3;34;Tomato Seafood (Marinara Pasta);TRUE;TRUE;6;7;1;;{};{};;
1;3;35;Aglio Olio (Seafood Pasta);TRUE;TRUE;6.5;7;1;;{};{};;
1;3;36;Singapore Pasta (Prawn & Beancurd in Laksa Pasta);TRUE;TRUE;6.5;7;1;;{};{};;
1;3;37;Roma Pasta;TRUE;TRUE;6;6.5;1;;{};{};;
1;3;38;Bangkok Pasta;TRUE;TRUE;6.5;7;1;;{};{};;
1;3;39;Breaded Prawn;TRUE;TRUE;3.5;4;2;;{};{};;
1;3;40;Crispy Chicken Rice w/ Coleslaw & Chicken Cube;TRUE;TRUE;3;3.5;2;;{};{};;
1;3;41;Half Spring Chicken w/ French Fries;TRUE;TRUE;4.9;5.5;1;;{};{};;
1;3;42;Chicken Wing;TRUE;TRUE;1.3;1.3;2;;{};{};;
1;3;43;Chicken/Fish Burger;TRUE;TRUE;2.5;3;1;;{};{};;
1;3;44;Breakfast Set (Ham},{ 2 Hot Dogs},{ 2 Buns},{ Egg},{ Red Bean & Coleslaw);TRUE;TRUE;5;5.5;1;;{};{};;
1;3;45;Fried Rice;TRUE;TRUE;1.5;1.5;3;;{};{};;
1;3;46;Plain Rice;TRUE;TRUE;0.6;0.6;3;;{};{};;
1;3;47;Mash Potato;TRUE;TRUE;2;2.5;3;;{};{};;
