location_id,stall_id,id,name,in_stock,school_price,public_price,category,kcal,compulsory_option_1,compulsory_option_2,modifier_1,modifier_1_cost,modifier_2,modifier_2_cost,upsize_1_cost,upsize_2_cost,tags,image_url
1,3,28,Aglio Olio Chicken Chop,,5.5,6,1,,,,,,,,,,,
1,3,29,Aglio Olio Chicken Cutlet,,5.5,6,1,,,,,,,,,,,
1,3,30,Aglio Olio Ham & Mushroom,,4.5,5,1,,,,,,,,,,,
1,3,31,Aglio Olio Grilled Doryfish,,5.5,6,1,,,,,,,,,,,
1,3,32,Aglio Olio Breaded Fish,,5.5,6,1,,,,,,,,,,,
1,3,33,Aglio Olio Sausage,,5.5,6,1,,,,,,,,,,,
1,3,34,Tomato Seafood (Marinara Pasta),,6,7,1,,,,,,,,,,,
1,3,35,Aglio Olio (Seafood Pasta),,6.5,7,1,,,,,,,,,,,
1,3,36,Singapore Pasta (Prawn & Beancurd in Laksa Pasta),,6.5,7,1,,,,,,,,,,,
1,3,37,Roma Pasta,,6,6.5,1,,,,,,,,,,,
1,3,38,Bangkok Pasta,,6.5,7,1,,,,,,,,,,,
1,3,39,Breaded Prawn,,3.5,4,2,,,,,,,,,,,
1,3,40,Crispy Chicken Rice w/ Coleslaw & Chicken Cube,,3,3.5,2,,,,,,,,,,,
1,3,41,Half Spring Chicken w/ French Fries,,4.9,5.5,1,,,,,,,,,,,
1,3,42,Chicken Wing,,1.3,1.3,2,,,,,,,,,,,
1,3,43,Chicken/Fish Burger,,2.5,3,1,,,,,,,,,,,
1,3,44,"Breakfast Set (Ham, 2 Hot Dogs, 2 Buns, Egg, Red Bean & Coleslaw)",,5,5.5,1,,,,,,,,,,,
1,3,45,Fried Rice,,1.5,1.5,3,,,,,,,,,,,
1,3,46,Plain Rice,,0.6,0.6,3,,,,,,,,,,,
1,3,47,Mash Potato,,2,2.5,3,,,,,,,,,,,
1,3,48,Coleslaw,,2,2.5,3,,,,,,,,,,,
1,3,49,French Fries,,2,2.5,3,,,,,,,,,,,
1,3,50,Cheese Fries,,3,3.5,3,,,,,,,,,,,
1,3,51,Mushroom Soup,,2.5,2.8,3,,,,,,,,,,,
1,3,52,Egg,,0.6,0.6,3,,,,,,,,,,,
