value,url
3.5,"http://www.dbs.com.sg/personal/mobile/paylink/index.html?tranRef=aLaJGZtv9F"
7.0,"http://www.dbs.com.sg/personal/mobile/paylink/index.html?tranRef=T2Zqwx37KT"
10.5,"http://www.dbs.com.sg/personal/mobile/paylink/index.html?tranRef=MjVs4gttHB"
14,"http://www.dbs.com.sg/personal/mobile/paylink/index.html?tranRef=TGxBbOViJj"
